Repressed Markers
APOBEC3C
BATF
BST2
CCND2
CCR8
CD82
COMMD3
COX5A
CST7
CTLA4
CTSC
CXCR3
CXCR6
DNPH1
DUSP4
FKBP1A
FOXP3
GALM
ICOS
IFI6
IGFLR1
IL1R2
LAYN
MAGEH1
MIR497HG
PKM
RHOC
SDC4
SH2D2A
SLAMF1
TNFRSF18
TNFRSF4
TNFRSF9
TPI1
TYMP
